bench,seed,W,H,cw,sys_total_s,sys_place_core_s,sys_sta_s,sys_setup_wb_s,route_wall_s,routed_ok,wl,cpd_ns,fmax_mhz,error
spam_filter_dotProduct_1,1,35,35,68,0.0125,0.0096,0.0024,0.0005,1.3159615993499756,True,37971,6.89358,145.062,
spam_filter_dotProduct_1,2,35,35,68,0.0115,0.0086,0.0024,0.0005,1.3662071228027344,True,39299,6.64662,150.452,
spam_filter_dotProduct_1,3,35,35,68,0.012,0.0091,0.0024,0.0005,1.3658623695373535,True,40215,6.91603,144.592,
spam_filter_dotProduct_1,4,35,35,68,0.0118,0.0089,0.0023,0.0005,1.3658947944641113,True,39144,6.81558,146.723,
spam_filter_dotProduct_1,5,35,35,68,0.0116,0.0087,0.0024,0.0005,1.315918207168579,True,38704,7.0582,141.679,
spam_filter_dotProduct_1,6,35,35,68,0.0118,0.0088,0.0024,0.0005,1.3666508197784424,True,38647,7.20977,138.701,
spam_filter_dotProduct_1,7,35,35,68,0.0119,0.0088,0.0025,0.0005,1.3661086559295654,True,38248,7.07867,141.269,
spam_filter_dotProduct_1,8,35,35,68,0.0116,0.0088,0.0023,0.0005,1.3660650253295898,True,38857,7.00178,142.821,
spam_filter_dotProduct_1,9,35,35,68,0.0116,0.0086,0.0024,0.0005,1.316054344177246,True,39279,7.34476,136.152,
stereovision0,0,35,35,70,0.0138,0.0095,0.0035,0.0008,2.168562173843384,True,64010,4.44386,225.029,
stereovision0,1,35,35,70,0.0151,0.0104,0.0038,0.0008,2.167710065841675,True,64574,4.82647,207.191,
stereovision0,2,35,35,70,0.0143,0.0098,0.0036,0.0008,2.167431354522705,True,63030,4.58714,218.001,
stereovision0,3,35,35,70,0.0139,0.0093,0.0038,0.0007,2.167762041091919,True,64950,4.45604,224.415,
stereovision0,4,35,35,70,0.0147,0.01,0.0038,0.0008,2.1678051948547363,True,64401,4.39678,227.439,
stereovision0,5,35,35,70,0.0139,0.0094,0.0036,0.0008,2.217743396759033,True,62806,4.43944,225.254,
stereovision0,6,35,35,70,0.0154,0.0107,0.0038,0.0008,2.217402696609497,True,63559,4.67869,213.735,
stereovision0,7,35,35,70,0.0144,0.0096,0.0039,0.0008,2.167344331741333,True,63540,4.45493,224.47,
stereovision0,8,35,35,70,0.0154,0.0105,0.0038,0.001,2.1673152446746826,True,64138,4.42615,225.93,
stereovision0,9,35,35,70,0.0148,0.01,0.0039,0.0008,2.117713212966919,True,63910,4.86927,205.37,
hetero_placer,0,100,100,176,0.1407,0.0966,0.03,0.0127,26.513678550720215,True,825788,10.909,91.6677,
hetero_placer,1,100,100,176,0.1373,0.0944,0.0297,0.0118,26.410168647766113,True,824963,10.7651,92.8923,
hetero_placer,2,100,100,176,0.1359,0.0927,0.0305,0.0114,26.359915494918823,True,830519,10.8907,91.8213,
hetero_placer,3,100,100,176,0.1371,0.0939,0.0301,0.0118,25.65729331970215,True,803575,11.4638,87.2309,
hetero_placer,4,100,100,176,0.1406,0.0952,0.032,0.0121,25.959925413131714,True,806523,11.0462,90.5291,
hetero_placer,5,100,100,176,0.1367,0.0934,0.0299,0.012,26.210465908050537,True,808936,10.8367,92.2787,
hetero_placer,6,100,100,176,0.1384,0.0948,0.0304,0.0118,26.760916709899902,True,837864,10.6921,93.5266,
hetero_placer,7,100,100,176,0.1356,0.0921,0.0302,0.0119,26.211414575576782,True,839101,11.4904,87.0292,
hetero_placer,8,100,100,176,0.1344,0.0911,0.0305,0.0115,26.20861530303955,True,823160,11.4583,87.2731,
hetero_placer,9,100,100,176,0.1409,0.096,0.0309,0.0126,25.65779423713684,True,810885,11.3327,88.24,
LU32PEEng,0,100,100,174,0.143,0.0957,0.0344,0.0116,28.114192247390747,True,912920,78.7749,12.6944,
LU32PEEng,1,100,100,174,0.143,0.0964,0.0336,0.0116,28.012980699539185,True,910633,78.8888,12.6761,
LU32PEEng,2,100,100,174,0.146,0.0991,0.0337,0.0118,28.16171169281006,True,914345,79.2759,12.6142,
LU32PEEng,3,100,100,174,0.1404,0.093,0.0346,0.0115,27.861767530441284,True,911007,79.6406,12.5564,
LU32PEEng,4,100,100,174,0.149,0.1015,0.0341,0.0119,28.01473116874695,True,911484,79.6599,12.5534,
LU32PEEng,5,100,100,174,0.1417,0.0929,0.0352,0.0122,28.262789011001587,True,912128,79.5161,12.5761,
LU32PEEng,6,100,100,174,0.1435,0.0966,0.0338,0.0117,28.112672805786133,True,913320,79.4403,12.5881,
LU32PEEng,7,100,100,174,0.1435,0.0931,0.0371,0.0119,28.164954900741577,True,908685,78.9734,12.6625,
LU32PEEng,8,100,100,174,0.1422,0.0945,0.0344,0.0119,27.46307873725891,True,911297,80.2475,12.4614,
LU32PEEng,9,100,100,174,0.1472,0.0979,0.0361,0.0119,27.612452268600464,True,914201,79.952,12.5075,
mcml,0,100,100,112,0.1301,0.0851,0.0374,0.0068,22.0535306930542,True,568819,59.92,16.6889,
mcml,1,100,100,112,0.1329,0.0875,0.0375,0.007,21.452250242233276,True,573777,60.3924,16.5584,
mcml,2,100,100,112,0.1346,0.0901,0.0367,0.0069,21.300480842590332,True,559890,60.575,16.5085,
mcml,3,100,100,112,0.1322,0.088,0.0367,0.0068,21.150660037994385,True,549816,60.2003,16.6112,
mcml,4,100,100,112,0.1292,0.085,0.0365,0.0068,21.702838897705078,True,557292,60.5015,16.5285,
mcml,5,100,100,112,0.1351,0.0903,0.0371,0.0069,22.204112768173218,True,571008,60.604,16.5006,
mcml,6,100,100,112,0.1337,0.0892,0.0366,0.0071,21.15030002593994,True,551339,60.1817,16.6163,
mcml,7,100,100,112,0.135,0.0903,0.037,0.0069,22.30478572845459,True,578458,60.2313,16.6027,
mcml,8,100,100,112,0.13,0.0859,0.0364,0.0068,22.206321954727173,True,561871,60.8736,16.4275,
mcml,9,100,100,112,0.1315,0.0868,0.037,0.0069,21.25202751159668,True,559462,59.5046,16.8054,
stereovision2,0,100,100,134,0.0771,0.0604,0.0131,0.0033,16.44300866127014,True,506195,20.1937,49.5204,
stereovision2,1,100,100,134,0.0812,0.0648,0.0128,0.0033,16.241878747940063,True,514894,21.981,45.4938,
stereovision2,2,100,100,134,0.0769,0.0602,0.013,0.0033,15.841207027435303,True,501578,21.601,46.2942,
stereovision2,3,100,100,134,0.0794,0.0625,0.0131,0.0033,16.493744134902954,True,505930,19.6395,50.9178,
stereovision2,4,100,100,134,0.076,0.0593,0.0131,0.0033,16.494511365890503,True,507045,20.946,47.7419,
stereovision2,5,100,100,134,0.0789,0.0623,0.0129,0.0033,16.4432315826416,True,516038,21.1103,47.3703,
stereovision2,6,100,100,134,0.079,0.0621,0.0132,0.0034,16.291939973831177,True,509523,21.1501,47.2811,
stereovision2,7,100,100,134,0.0778,0.0611,0.013,0.0033,16.041011333465576,True,507604,20.2241,49.4458,
stereovision2,8,100,100,134,0.0776,0.0608,0.0131,0.0032,15.74204134941101,True,492327,20.7762,48.1319,
stereovision2,9,100,100,134,0.0782,0.0611,0.0134,0.0033,16.14138650894165,True,511596,20.3403,49.1635,
