bench,config,seed,W,H,cw,threads,place_time_s,sys_place_core_s,sys_sta_s,route_wall_s,routed_ok,wl,cpd_ns,fmax_mhz,error
softmax,vtr,3,200,200,82,12,9.69,,,19.199283361434937,True,146297,7.19486,138.988,
softmax,vtr,4,200,200,82,12,9.69,,,19.150081872940063,True,144685,7.19818,138.924,
softmax,vtr,5,200,200,82,12,9.66,,,19.00030517578125,True,145853,7.01114,142.63,
softmax,vtr,6,200,200,82,12,9.69,,,18.847837686538696,True,146529,6.86735,145.617,
softmax,vtr,7,200,200,82,12,9.67,,,19.099454164505005,True,144776,7.18257,139.226,
softmax,vtr,8,200,200,82,12,9.46,,,19.24942135810852,True,145253,7.10903,140.666,
softmax,vtr,9,200,200,82,12,9.85,,,18.69748067855835,True,148679,7.21587,138.583,
lenet,soph,0,200,200,130,1,0.2578,0.1244,0.1263,46.59887766838074,True,187346,9.73426,102.73,
lenet,soph,1,200,200,130,1,0.2831,0.1342,0.1415,26.613291025161743,True,184377,9.89252,101.086,
lenet,soph,2,200,200,130,1,0.2799,0.1331,0.1395,26.51234269142151,True,185200,9.90021,101.008,
lenet,soph,3,200,200,130,1,0.2516,0.1233,0.1212,26.612507343292236,True,185695,9.77094,102.344,
lenet,soph,4,200,200,130,1,0.2682,0.1331,0.1277,26.310813426971436,True,186413,9.86758,101.342,
lenet,soph,5,200,200,130,1,0.245,0.1228,0.1151,26.05837917327881,True,186391,9.87975,101.217,
lenet,soph,6,200,200,130,1,0.2131,0.1041,0.1023,26.35910129547119,True,186435,10.3031,97.0582,
lenet,soph,7,200,200,130,1,0.2843,0.1324,0.1445,26.60932683944702,True,188950,9.86027,101.417,
lenet,soph,8,200,200,130,1,0.2439,0.1209,0.1161,26.409698486328125,True,187929,10.1291,98.7253,
lenet,soph,9,200,200,130,1,0.3138,0.1523,0.1534,26.5629403591156,True,188538,9.86261,101.393,
lenet,vtr,0,200,200,130,12,7.99,,,26.210126638412476,True,168539,9.51134,105.138,
lenet,vtr,1,200,200,130,12,7.7,,,26.562482595443726,True,168805,9.11634,109.693,
lenet,vtr,2,200,200,130,12,7.66,,,26.561441659927368,True,166313,10.0336,99.6653,
lenet,vtr,3,200,200,130,12,7.62,,,26.16133451461792,True,166780,9.96547,100.346,
lenet,vtr,4,200,200,130,12,7.67,,,25.86192750930786,True,165164,10.3562,96.5607,
lenet,vtr,5,200,200,130,12,7.76,,,26.460033655166626,True,167173,9.26141,107.975,
lenet,vtr,6,200,200,130,12,7.71,,,26.112450122833252,True,165704,10.3209,96.8903,
lenet,vtr,7,200,200,130,12,7.54,,,26.4616117477417,True,165790,10.3692,96.4399,
lenet,vtr,8,200,200,130,12,7.61,,,26.661370277404785,True,167342,9.35262,106.922,
lenet,vtr,9,200,200,130,12,7.79,,,25.70684313774109,True,166145,10.1901,98.1349,
conv_layer_hls,soph,0,200,200,50,1,0.0612,0.0343,0.0248,18.895629167556763,True,145396,10.1794,98.238,
conv_layer_hls,soph,1,200,200,50,1,0.0614,0.0355,0.0237,13.140712022781372,True,144680,10.5992,94.3464,
conv_layer_hls,soph,2,200,200,50,1,0.0603,0.0337,0.0242,12.986989736557007,True,144506,10.1982,98.0567,
conv_layer_hls,soph,3,200,200,50,1,0.0599,0.0343,0.0234,12.836687326431274,True,145905,9.91422,100.865,
conv_layer_hls,soph,4,200,200,50,1,0.0621,0.0354,0.0244,12.637196779251099,True,145383,10.3284,96.8207,
conv_layer_hls,soph,5,200,200,50,1,0.0604,0.0332,0.025,12.687153816223145,True,144425,10.2999,97.0885,
conv_layer_hls,soph,6,200,200,50,1,0.0614,0.0333,0.0258,12.887615203857422,True,144695,10.1871,98.1632,
conv_layer_hls,soph,7,200,200,50,1,0.0635,0.0362,0.025,12.987386703491211,True,143577,10.2181,97.8655,
conv_layer_hls,soph,8,200,200,50,1,0.0632,0.0358,0.0252,12.888368368148804,True,144805,10.134,98.6777,
conv_layer_hls,soph,9,200,200,50,1,0.0337,0.0203,0.0117,12.635919332504272,True,149627,11.1236,89.8991,
conv_layer_hls,vtr,0,200,200,50,12,12.34,,,12.486140012741089,True,97879,12.6871,78.8201,
conv_layer_hls,vtr,1,200,200,50,12,12.06,,,12.38516640663147,True,98711,12.2302,81.7645,
conv_layer_hls,vtr,2,200,200,50,12,12.45,,,12.63601803779602,True,99248,11.6975,85.4887,
conv_layer_hls,vtr,3,200,200,50,12,12.32,,,12.684983015060425,True,98164,11.6919,85.5291,
conv_layer_hls,vtr,4,200,200,50,12,12.65,,,12.78478717803955,True,97999,11.7019,85.4563,
conv_layer_hls,vtr,5,200,200,50,12,11.95,,,12.637628078460693,True,98348,11.6831,85.594,
conv_layer_hls,vtr,6,200,200,50,12,12.25,,,12.687461137771606,True,97832,11.7213,85.3145,
conv_layer_hls,vtr,7,200,200,50,12,12.3,,,12.733741521835327,True,98701,12.2302,81.7645,
conv_layer_hls,vtr,8,200,200,50,12,12.52,,,12.736822366714478,True,97506,11.7213,85.3145,
conv_layer_hls,vtr,9,200,200,50,12,12.63,,,12.685321807861328,True,98329,11.6945,85.51,
bwave_like.fixed.large,soph,0,200,200,200,1,1.2367,0.2532,0.9609,181.4062933921814,True,2404994,13.7973,72.478,
bwave_like.fixed.large,soph,1,200,200,200,1,0.6453,0.1252,0.5025,207.8565697669983,True,2575083,13.1008,76.3311,
bwave_like.fixed.large,soph,2,200,200,200,1,0.7726,0.1534,0.6005,219.14626455307007,True,2539461,12.6212,79.2319,
bwave_like.fixed.large,soph,3,200,200,200,1,1.1658,0.2311,0.9123,94.4253740310669,True,2366377,13.1681,75.941,
bwave_like.fixed.large,soph,4,200,200,200,1,0.6328,0.1214,0.4942,575.2281587123871,False,,,,
bwave_like.fixed.large,soph,5,200,200,200,1,0.6338,0.1249,0.4915,372.15208888053894,False,,,,
bwave_like.fixed.large,soph,6,200,200,200,1,1.1678,0.2385,0.9072,121.10646557807922,True,2380527,14.6384,68.3133,
bwave_like.fixed.large,soph,7,200,200,200,1,1.1236,0.218,0.8838,96.17800879478455,True,2389995,12.995,76.9525,
bwave_like.fixed.large,soph,8,200,200,200,1,1.186,0.2412,0.9224,93.32184863090515,True,2370358,12.9739,77.0776,
bwave_like.fixed.large,soph,9,200,200,200,1,1.4067,0.284,1.0987,69.4314455986023,True,2301190,13.4828,74.1687,
bwave_like.fixed.large,vtr,0,200,200,200,12,42.64,,,59.5135555267334,True,2064066,12.1701,82.1686,
bwave_like.fixed.large,vtr,1,200,200,200,12,42.18,,,64.22236704826355,True,2067978,12.5784,79.5016,
bwave_like.fixed.large,vtr,2,200,200,200,12,42.2,,,90.74964165687561,True,2090574,13.5426,73.8413,
bwave_like.fixed.large,vtr,3,200,200,200,12,41.93,,,67.24070978164673,True,2091000,12.2922,81.3522,
bwave_like.fixed.large,vtr,4,200,200,200,12,42.74,,,63.477837324142456,True,2048305,12.1687,82.1778,
bwave_like.fixed.large,vtr,5,200,200,200,12,41.79,,,62.069653034210205,True,2076381,12.6113,79.2943,
bwave_like.fixed.large,vtr,6,200,200,200,12,42.33,,,63.777573108673096,True,2075521,12.9754,77.069,
bwave_like.fixed.large,vtr,7,200,200,200,12,41.69,,,59.818756103515625,True,2066181,14.6487,68.2652,
bwave_like.fixed.large,vtr,8,200,200,200,12,42.42,,,67.63183951377869,True,2079207,11.9146,83.9309,
bwave_like.fixed.large,vtr,9,200,200,200,12,42.45,,,67.33682489395142,True,2070387,13.492,74.1177,
proxy.5,soph,0,200,200,152,1,0.3692,0.0832,0.2704,68.88865518569946,True,1240281,8.96039,111.602,
proxy.5,soph,1,200,200,152,1,0.8521,0.1875,0.6433,41.23651385307312,True,1022785,8.99541,111.168,
proxy.5,soph,2,200,200,152,1,0.8851,0.1952,0.6686,42.59037637710571,True,1042458,8.30511,120.408,
proxy.5,soph,3,200,200,152,1,1.2382,0.2589,0.9544,41.63522028923035,True,992534,8.77479,113.963,
proxy.5,soph,4,200,200,152,1,0.5071,0.1122,0.3776,42.83718180656433,True,1128532,8.0963,123.513,
proxy.5,soph,5,200,200,152,1,1.2502,0.2655,0.9594,41.784323930740356,True,998673,9.11754,109.679,
proxy.5,soph,6,200,200,152,1,1.2169,0.259,0.933,42.1841025352478,True,1000891,8.45904,118.217,
proxy.5,soph,7,200,200,152,1,0.6883,0.1497,0.5193,42.1348352432251,True,1053728,8.17724,122.291,
proxy.5,soph,8,200,200,152,1,1.1962,0.2451,0.9271,40.78263592720032,True,997187,8.94091,111.845,
proxy.5,soph,9,200,200,152,1,1.2055,0.2568,0.924,41.99115300178528,True,990857,8.54296,117.055,
proxy.5,vtr,0,200,200,152,12,47.87,,,40.43238687515259,True,904192,8.61177,116.12,
proxy.5,vtr,1,200,200,152,12,46.02,,,41.43971133232117,True,907085,9.0469,110.535,
proxy.5,vtr,2,200,200,152,12,47.37,,,41.033852100372314,True,904153,8.31834,120.216,
proxy.5,vtr,3,200,200,152,12,47.33,,,40.58260107040405,True,893374,8.51656,117.418,
proxy.5,vtr,4,200,200,152,12,47.88,,,40.72999382019043,True,893727,8.54756,116.992,
proxy.5,vtr,5,200,200,152,12,47.86,,,41.029205322265625,True,897316,8.35225,119.728,
proxy.5,vtr,6,200,200,152,12,47.06,,,40.533103942871094,True,897968,9.30246,107.498,
proxy.5,vtr,7,200,200,152,12,47.28,,,40.33066964149475,True,900609,8.80027,113.633,
proxy.5,vtr,8,200,200,152,12,47.57,,,40.23149490356445,True,901385,8.74596,114.339,
proxy.5,vtr,9,200,200,152,12,47.36,,,39.53169226646423,True,890759,9.01377,110.941,
proxy.8,soph,0,200,200,152,1,0.6641,0.128,0.5156,77.24193382263184,True,1657510,15.1488,66.0117,
proxy.8,soph,1,200,200,152,1,0.4898,0.0977,0.3732,56.95981979370117,True,1830808,15.9667,62.6304,
proxy.8,soph,2,200,200,152,1,0.7572,0.1453,0.5904,48.34247899055481,True,1545954,14.3519,69.6772,
proxy.8,soph,3,200,200,152,1,0.5916,0.114,0.4576,52.602962255477905,True,1686867,15.507,64.4871,
proxy.8,soph,4,200,200,152,1,0.6557,0.1265,0.5084,49.09459972381592,True,1608014,14.9139,67.0514,
proxy.8,soph,5,200,200,152,1,0.6665,0.1285,0.5173,50.39786171913147,True,1615297,14.915,67.0464,
proxy.8,soph,6,200,200,152,1,0.8884,0.1693,0.6968,48.95139503479004,True,1473148,13.7677,72.6337,
proxy.8,soph,7,200,200,152,1,0.8151,0.1566,0.6366,48.44312119483948,True,1529584,14.1798,70.5226,
proxy.8,soph,8,200,200,152,1,0.6658,0.1271,0.5184,50.502131938934326,True,1627786,14.7183,67.9424,
proxy.8,soph,9,200,200,152,1,0.6834,0.1275,0.5352,50.45393466949463,True,1613134,15.289,65.4063,
proxy.8,vtr,0,200,200,152,12,66.37,,,45.14338135719299,True,1275286,12.0903,82.7109,
proxy.8,vtr,1,200,200,152,12,68.57,,,45.28516936302185,True,1285362,10.9356,91.4447,
proxy.8,vtr,2,200,200,152,12,64.9,,,45.83638668060303,True,1264389,11.3543,88.0721,
proxy.8,vtr,3,200,200,152,12,69.32,,,45.54268145561218,True,1296290,11.7665,84.9873,
proxy.8,vtr,4,200,200,152,12,66.56,,,46.99018096923828,True,1312782,10.4235,95.9367,
proxy.8,vtr,5,200,200,152,12,68.36,,,46.29128932952881,True,1302580,10.9617,91.2266,
proxy.8,vtr,6,200,200,152,12,67.56,,,46.84674668312073,True,1287236,10.954,91.2911,
proxy.8,vtr,7,200,200,152,12,66.03,,,46.588016986846924,True,1286380,10.393,96.2183,
proxy.8,vtr,8,200,200,152,12,68.55,,,46.242788791656494,True,1289134,11.0755,90.2891,
proxy.8,vtr,9,200,200,152,12,68.15,,,46.59903001785278,True,1282467,11.3322,88.2441,
lstm,soph,0,200,200,188,1,1.2978,0.2173,1.0544,94.78356337547302,True,1831053,10.355,96.5716,
lstm,soph,1,200,200,188,1,1.7658,0.2746,1.4617,59.668107986450195,True,1766661,10.9192,91.582,
lstm,soph,2,200,200,188,1,1.4046,0.2285,1.149,59.71373391151428,True,1793477,10.7258,93.2332,
lstm,soph,3,200,200,188,1,0.554,0.0921,0.4417,130.08236646652222,True,2180594,12.0267,83.1485,
lstm,soph,4,200,200,188,1,1.7361,0.2738,1.4332,59.47246861457825,True,1775788,10.4365,95.8178,
lstm,soph,5,200,200,188,1,1.6035,0.2771,1.2971,63.62433624267578,True,1792825,10.7645,92.8977,
lstm,soph,6,200,200,188,1,1.7209,0.2696,1.4218,59.568443059921265,True,1795751,10.6033,94.3107,
lstm,soph,7,200,200,188,1,1.7681,0.2769,1.4614,59.272178173065186,True,1793808,11.2235,89.0987,
lstm,soph,8,200,200,188,1,1.1626,0.1957,0.9415,64.97505021095276,True,1845487,10.6261,94.1082,
lstm,soph,9,200,200,188,1,1.5392,0.2461,1.2653,62.87171697616577,True,1826816,10.0603,99.4004,
lstm,vtr,0,200,200,188,12,93.06,,,52.658735513687134,True,1424806,10.2887,97.1941,
lstm,vtr,1,200,200,188,12,92.65,,,52.95107984542847,True,1439003,9.81781,101.856,
lstm,vtr,2,200,200,188,12,92.56,,,52.75229597091675,True,1440931,9.85562,101.465,
lstm,vtr,3,200,200,188,12,94.51,,,52.90863275527954,True,1440876,10.0127,99.8729,
lstm,vtr,4,200,200,188,12,91.2,,,53.00353121757507,True,1428766,10.3358,96.7511,
lstm,vtr,5,200,200,188,12,93.63,,,53.25853157043457,True,1442694,10.3247,96.8548,
lstm,vtr,6,200,200,188,12,96.96,,,53.11036705970764,True,1422542,9.93955,100.608,
lstm,vtr,7,200,200,188,12,96.31,,,51.453855991363525,True,1438298,10.1881,98.1537,
lstm,vtr,8,200,200,188,12,92.45,,,52.954952001571655,True,1440696,10.112,98.8924,
lstm,vtr,9,200,200,188,12,95.93,,,52.051398038864136,True,1432170,10.2172,97.8743,
dla_like.small,soph,0,200,200,154,1,1.3135,0.2428,1.0408,67.87607026100159,True,1025972,10.2615,97.452,
dla_like.small,soph,1,200,200,154,1,1.4507,0.273,1.1467,43.83738827705383,True,1061996,10.0148,99.8527,
dla_like.small,soph,2,200,200,154,1,1.1564,0.2207,0.9076,44.23820662498474,True,1028411,10.4114,96.0488,
dla_like.small,soph,3,200,200,154,1,1.3481,0.242,1.0763,43.988932609558105,True,1044166,9.88033,101.211,
dla_like.small,soph,4,200,200,154,1,1.1487,0.2165,0.9047,44.28087329864502,True,1029995,9.90744,100.934,
dla_like.small,soph,5,200,200,154,1,1.3818,0.2688,1.0825,44.18936204910278,True,1037781,9.8759,101.257,
dla_like.small,soph,6,200,200,154,1,1.47,0.2773,1.1613,44.58221793174744,True,1038972,10.1381,98.6378,
dla_like.small,soph,7,200,200,154,1,1.4723,0.271,1.1701,43.989049196243286,True,1048970,9.92072,100.799,
dla_like.small,soph,8,200,200,154,1,1.3595,0.2575,1.071,43.935643672943115,True,1023795,10.4352,95.8298,
dla_like.small,soph,9,200,200,154,1,1.1741,0.2202,0.9258,44.13547873497009,True,1028176,10.2869,97.2109,
dla_like.small,vtr,0,200,200,154,12,62.76,,,43.384424448013306,True,898487,10.7245,93.2445,
dla_like.small,vtr,1,200,200,154,12,61.57,,,43.4875328540802,True,893864,10.5653,94.6498,
dla_like.small,vtr,2,200,200,154,12,62.11,,,42.03517556190491,True,879091,10.7494,93.0285,
dla_like.small,vtr,3,200,200,154,12,63.81,,,43.58579111099243,True,899078,10.6791,93.6407,
dla_like.small,vtr,4,200,200,154,12,63.09,,,42.93963551521301,True,887910,10.9248,91.5351,
dla_like.small,vtr,5,200,200,154,12,61.35,,,41.987743854522705,True,876126,10.4584,95.6168,
dla_like.small,vtr,6,200,200,154,12,63.74,,,43.68059706687927,True,906271,10.7483,93.0381,
dla_like.small,vtr,7,200,200,154,12,62.05,,,42.88640999794006,True,872965,10.3085,97.0074,
dla_like.small,vtr,8,200,200,154,12,64.02,,,43.59399342536926,True,898105,10.6006,94.3345,
dla_like.small,vtr,9,200,200,154,12,60.75,,,42.53965091705322,True,881319,10.626,94.1085,
deepfreeze.style3,soph,0,200,200,120,1,0.7544,0.1528,0.5848,60.52593445777893,True,928193,8.68129,115.19,
deepfreeze.style3,soph,1,200,200,120,1,0.8445,0.172,0.6548,43.991427421569824,True,925918,8.93906,111.869,
deepfreeze.style3,soph,2,200,200,120,1,0.9571,0.2,0.7381,43.687604904174805,True,897123,8.02198,124.658,
deepfreeze.style3,soph,3,200,200,120,1,0.9476,0.1945,0.7344,42.93530631065369,True,911999,8.13696,122.896,
deepfreeze.style3,soph,4,200,200,120,1,0.9931,0.2005,0.7735,42.63747811317444,True,906964,7.71882,129.553,
deepfreeze.style3,soph,5,200,200,120,1,0.7595,0.1546,0.5877,43.640395164489746,True,926921,9.30974,107.414,
deepfreeze.style3,soph,6,200,200,120,1,0.7516,0.1518,0.5829,42.741657972335815,True,927396,9.09673,109.93,
deepfreeze.style3,soph,7,200,200,120,1,0.9741,0.198,0.7571,43.387906074523926,True,899971,8.18068,122.239,
deepfreeze.style3,soph,8,200,200,120,1,0.852,0.1662,0.6682,43.232844829559326,True,923515,7.85538,127.301,
deepfreeze.style3,soph,9,200,200,120,1,0.8498,0.1724,0.6594,42.98468470573425,True,931685,7.9635,125.573,
deepfreeze.style3,vtr,0,200,200,120,12,70.78,,,43.13206124305725,True,759882,7.78029,128.53,
deepfreeze.style3,vtr,1,200,200,120,12,72.64,,,43.1360387802124,True,762656,8.06388,124.01,
deepfreeze.style3,vtr,2,200,200,120,12,69.73,,,43.286869049072266,True,758559,7.07439,141.355,
