bench,config,seed,W,H,cw,place_time_s,sys_place_core_s,sys_sta_s,route_wall_s,routed_ok,wl,cpd_ns,fmax_mhz,error
mkSMAdapter4B,vtr,0,35,35,54,1.38,,,0.7151930332183838,True,18045,6.08194,164.421,
mkSMAdapter4B,vtr,1,35,35,54,1.37,,,0.6649715900421143,True,18072,6.0037,166.564,
mkSMAdapter4B,vtr,2,35,35,54,1.42,,,0.7150020599365234,True,17898,5.95853,167.827,
mkSMAdapter4B,vtr,3,35,35,54,1.4,,,0.7149219512939453,True,17910,5.86042,170.636,
mkSMAdapter4B,vtr,4,35,35,54,1.45,,,0.6651120185852051,True,17614,6.00466,166.537,
mkSMAdapter4B,vtr,5,35,35,54,1.41,,,0.7651705741882324,True,18425,5.83209,171.465,
mkSMAdapter4B,vtr,6,35,35,54,1.45,,,0.7149379253387451,True,18001,5.87909,170.094,
mkSMAdapter4B,vtr,7,35,35,54,1.37,,,0.6648364067077637,True,17886,5.98311,167.137,
mkSMAdapter4B,vtr,8,35,35,54,1.39,,,0.6650040149688721,True,17902,6.14904,162.627,
mkSMAdapter4B,vtr,9,35,35,54,1.41,,,0.664865255355835,True,17938,6.0048,166.533,
or1200,full,0,35,35,86,0.0096,0.007,0.0019,1.4660890102386475,True,49817,14.5793,68.5905,
or1200,full,1,35,35,86,0.0088,0.0063,0.0019,1.1660056114196777,True,50274,14.4327,69.2872,
or1200,full,2,35,35,86,0.0094,0.0067,0.002,1.1160285472869873,True,50085,14.7026,68.015,
or1200,full,3,35,35,86,0.0091,0.0064,0.0021,1.115405559539795,True,49908,14.5749,68.6113,
or1200,full,4,35,35,86,0.0088,0.0062,0.002,1.165558099746704,True,50212,14.7048,68.0048,
or1200,full,5,35,35,86,0.0086,0.0061,0.0019,1.166294813156128,True,50142,14.8526,67.3285,
or1200,full,6,35,35,86,0.0083,0.0056,0.0021,1.1661388874053955,True,50398,14.8481,67.3486,
or1200,full,7,35,35,86,0.0088,0.0062,0.002,1.1153600215911865,True,49902,14.7181,67.9434,
or1200,full,8,35,35,86,0.009,0.0062,0.0021,1.1154141426086426,True,50029,14.7093,67.9843,
or1200,full,9,35,35,86,0.0091,0.0064,0.002,1.165513515472412,True,50141,14.8426,67.3737,
or1200,vtr,0,35,35,86,3.54,,,1.1655817031860352,True,48518,14.5826,68.5749,
or1200,vtr,1,35,35,86,3.46,,,1.1658942699432373,True,48919,15.0191,66.582,
or1200,vtr,2,35,35,86,3.53,,,1.1659233570098877,True,49003,14.4382,69.2606,
or1200,vtr,3,35,35,86,3.62,,,1.166205883026123,True,49470,14.5782,68.5957,
or1200,vtr,4,35,35,86,3.46,,,1.1657795906066895,True,48843,14.4316,69.2925,
or1200,vtr,5,35,35,86,3.47,,,1.1657159328460693,True,48532,14.7159,67.9536,
or1200,vtr,6,35,35,86,3.44,,,1.1659772396087646,True,49296,14.7093,67.9843,
or1200,vtr,7,35,35,86,3.28,,,1.1657500267028809,True,48369,15.0047,66.6458,
or1200,vtr,8,35,35,86,3.42,,,1.1658787727355957,True,49142,14.4515,69.197,
or1200,vtr,9,35,35,86,3.63,,,1.1656084060668945,True,48873,14.5594,68.6844,
raygentop,full,0,35,35,60,0.0044,0.003,0.001,0.9656009674072266,True,27508,5.61839,177.987,
raygentop,full,1,35,35,60,0.0019,0.0006,0.001,0.7649359703063965,True,33634,6.91728,144.565,
raygentop,full,2,35,35,60,0.0041,0.0027,0.0011,0.7652530670166016,True,27697,5.56299,179.759,
raygentop,full,3,35,35,60,0.005,0.0035,0.0013,0.7649085521697998,True,27338,5.20421,192.152,
raygentop,full,4,35,35,60,0.0054,0.0041,0.001,0.7651562690734863,True,26851,5.29193,188.967,
raygentop,full,5,35,35,60,0.0044,0.0031,0.001,0.8150990009307861,True,27474,5.27312,189.641,
raygentop,full,6,35,35,60,0.0059,0.0046,0.001,0.7648024559020996,True,27103,5.44239,183.743,
raygentop,full,7,35,35,60,0.0055,0.0042,0.001,0.764838695526123,True,26546,5.22674,191.324,
raygentop,full,8,35,35,60,0.0067,0.0054,0.001,0.7649121284484863,True,26791,5.40368,185.059,
raygentop,full,9,35,35,60,0.0038,0.0024,0.0011,0.7651810646057129,True,27716,5.67363,176.254,
raygentop,vtr,0,35,35,60,1.52,,,0.7651402950286865,True,25737,5.45125,183.444,
raygentop,vtr,1,35,35,60,1.47,,,0.8152525424957275,True,26128,5.48065,182.46,
raygentop,vtr,2,35,35,60,1.54,,,0.7650973796844482,True,25995,5.25495,190.297,
raygentop,vtr,3,35,35,60,1.55,,,0.8151788711547852,True,26153,5.29193,188.967,
raygentop,vtr,4,35,35,60,1.57,,,0.8152899742126465,True,26229,5.38219,185.798,
raygentop,vtr,5,35,35,60,1.59,,,0.8152449131011963,True,26549,5.26823,189.817,
raygentop,vtr,6,35,35,60,1.51,,,0.8153376579284668,True,26265,5.25708,190.22,
raygentop,vtr,7,35,35,60,1.6,,,0.8150997161865234,True,26119,5.11389,195.546,
raygentop,vtr,8,35,35,60,1.38,,,0.8156764507293701,True,26124,5.24712,190.581,
raygentop,vtr,9,35,35,60,1.49,,,0.8153841495513916,True,26632,5.38827,185.588,
rendering_rasterization2_m,full,0,35,35,76,0.0119,0.0089,0.0023,1.566666841506958,True,47143,6.40041,156.24,
rendering_rasterization2_m,full,1,35,35,76,0.0124,0.0095,0.0022,1.3661763668060303,True,45572,6.2663,159.584,
rendering_rasterization2_m,full,2,35,35,76,0.0127,0.0099,0.0022,1.366058588027954,True,45749,6.51879,153.403,
rendering_rasterization2_m,full,3,35,35,76,0.0129,0.0099,0.0023,1.3663523197174072,True,45886,6.3722,156.932,
rendering_rasterization2_m,full,4,35,35,76,0.0115,0.0087,0.0022,1.3662266731262207,True,46326,6.40041,156.24,
rendering_rasterization2_m,full,5,35,35,76,0.0126,0.0095,0.0024,1.315964937210083,True,44702,6.36666,157.068,
rendering_rasterization2_m,full,6,35,35,76,0.0128,0.0098,0.0024,1.3160452842712402,True,46923,6.52322,153.298,
rendering_rasterization2_m,full,7,35,35,76,0.0125,0.0095,0.0023,1.3665268421173096,True,46515,6.39243,156.435,
rendering_rasterization2_m,full,8,35,35,76,0.0124,0.0093,0.0024,1.3660972118377686,True,45342,6.3993,156.267,
