bench,config,seed,W,H,cw,place_time_s,sys_place_core_s,sys_sta_s,route_wall_s,routed_ok,wl,cpd_ns,fmax_mhz,error
digit_recognition_update_knn1,vtr_bb,6,35,35,76,1.38,,,2.1678221225738525,True,71904,6.37926,156.758,
digit_recognition_update_knn1,vtr_bb,7,35,35,76,1.49,,,2.1678669452667236,True,70366,5.84618,171.052,
digit_recognition_update_knn1,vtr_bb,8,35,35,76,1.39,,,2.1678338050842285,True,73691,5.84297,171.146,
digit_recognition_update_knn1,vtr_bb,9,35,35,76,1.44,,,2.1679067611694336,True,72001,6.64757,150.431,
digit_recognition_update_knn2,full,0,35,35,80,0.0154,0.0106,0.0034,2.167665719985962,True,70723,5.83295,171.44,
digit_recognition_update_knn2,full,1,35,35,80,0.0153,0.0108,0.0032,1.9679722785949707,True,73306,6.40827,156.048,
digit_recognition_update_knn2,full,2,35,35,80,0.0159,0.0114,0.0032,1.9674618244171143,True,70201,6.67158,149.89,
digit_recognition_update_knn2,full,3,35,35,80,0.0159,0.0112,0.0033,1.9674263000488281,True,71191,6.54712,152.739,
digit_recognition_update_knn2,full,4,35,35,80,0.0161,0.0114,0.0034,1.9677774906158447,True,72777,6.78054,147.481,
digit_recognition_update_knn2,full,5,35,35,80,0.0161,0.0116,0.0032,1.9670100212097168,True,73986,5.68303,175.963,
digit_recognition_update_knn2,full,6,35,35,80,0.0153,0.0108,0.0032,1.9677748680114746,True,70875,6.50727,153.674,
digit_recognition_update_knn2,full,7,35,35,80,0.0158,0.011,0.0034,1.9673302173614502,True,70310,6.27606,159.336,
digit_recognition_update_knn2,full,8,35,35,80,0.0154,0.011,0.0031,1.9172568321228027,True,70437,7.10695,140.707,
digit_recognition_update_knn2,full,9,35,35,80,0.0147,0.0103,0.0031,1.9673550128936768,True,71162,6.50063,153.831,
digit_recognition_update_knn2,vtr_bb,0,35,35,80,1.24,,,1.9173476696014404,True,68677,6.5117,153.57,
digit_recognition_update_knn2,vtr_bb,1,35,35,80,1.33,,,2.017857313156128,True,72262,6.6904,149.468,
digit_recognition_update_knn2,vtr_bb,2,35,35,80,1.27,,,1.9173457622528076,True,68543,6.67601,149.79,
digit_recognition_update_knn2,vtr_bb,3,35,35,80,1.32,,,1.9675121307373047,True,69326,6.81154,146.81,
digit_recognition_update_knn2,vtr_bb,4,35,35,80,1.26,,,1.967475414276123,True,69091,5.90163,169.445,
digit_recognition_update_knn2,vtr_bb,5,35,35,80,1.22,,,1.917691707611084,True,68874,6.81818,146.667,
digit_recognition_update_knn2,vtr_bb,6,35,35,80,1.2,,,1.9674618244171143,True,69039,6.78275,147.433,
digit_recognition_update_knn2,vtr_bb,7,35,35,80,1.25,,,1.9684381484985352,True,70509,5.43907,183.855,
digit_recognition_update_knn2,vtr_bb,8,35,35,80,1.32,,,1.968322992324829,True,70163,6.47142,154.526,
digit_recognition_update_knn2,vtr_bb,9,35,35,80,1.33,,,1.967559576034546,True,71114,5.49116,182.111,
mkSMAdapter4B,full,0,35,35,54,0.0083,0.007,0.001,0.865093469619751,True,18815,5.94419,168.231,
mkSMAdapter4B,full,1,35,35,54,0.0083,0.007,0.001,0.7148079872131348,True,18501,5.94641,168.169,
mkSMAdapter4B,full,2,35,35,54,0.0083,0.0071,0.001,0.7149467468261719,True,18463,6.22521,160.637,
mkSMAdapter4B,full,3,35,35,54,0.0082,0.007,0.0009,0.7155666351318359,True,18638,5.93932,168.369,
mkSMAdapter4B,full,4,35,35,54,0.0082,0.007,0.001,0.7147932052612305,True,18727,5.94419,168.231,
mkSMAdapter4B,full,5,35,35,54,0.0083,0.0071,0.001,0.7149312496185303,True,18533,5.80092,172.387,
mkSMAdapter4B,full,6,35,35,54,0.0083,0.007,0.001,0.7148921489715576,True,18640,5.58257,179.129,
mkSMAdapter4B,full,7,35,35,54,0.0082,0.0069,0.001,0.7658936977386475,True,18845,6.08858,164.242,
mkSMAdapter4B,full,8,35,35,54,0.007,0.0058,0.0009,0.7148082256317139,True,19005,5.72032,174.815,
mkSMAdapter4B,full,9,35,35,54,0.0081,0.0069,0.0009,0.7147445678710938,True,18778,6.08636,164.302,
mkSMAdapter4B,vtr_bb,0,35,35,54,0.96,,,0.6649267673492432,True,17092,6.00023,166.66,
mkSMAdapter4B,vtr_bb,1,35,35,54,0.96,,,0.7151298522949219,True,17526,5.86249,170.576,
mkSMAdapter4B,vtr_bb,2,35,35,54,0.95,,,0.7150454521179199,True,17444,5.83762,171.303,
mkSMAdapter4B,vtr_bb,3,35,35,54,0.93,,,0.7151072025299072,True,17373,6.04873,165.324,
mkSMAdapter4B,vtr_bb,4,35,35,54,0.92,,,0.6650190353393555,True,17180,5.83651,171.335,
mkSMAdapter4B,vtr_bb,5,35,35,54,0.93,,,0.6649172306060791,True,17594,5.98422,167.106,
mkSMAdapter4B,vtr_bb,6,35,35,54,0.91,,,0.6651763916015625,True,17619,6.37403,156.887,
mkSMAdapter4B,vtr_bb,7,35,35,54,0.95,,,0.7150945663452148,True,17197,6.46866,154.591,
mkSMAdapter4B,vtr_bb,8,35,35,54,0.96,,,0.6650290489196777,True,17353,5.84205,171.173,
mkSMAdapter4B,vtr_bb,9,35,35,54,0.92,,,0.665067195892334,True,17471,5.84205,171.173,
or1200,full,0,35,35,86,0.0094,0.0068,0.002,1.4666111469268799,True,49817,14.5793,68.5905,
or1200,full,1,35,35,86,0.0091,0.0064,0.0021,1.1661508083343506,True,50274,14.4327,69.2872,
or1200,full,2,35,35,86,0.0095,0.0069,0.002,1.165536880493164,True,50085,14.7026,68.015,
or1200,full,3,35,35,86,0.0093,0.0066,0.002,1.1656014919281006,True,49908,14.5749,68.6113,
or1200,full,4,35,35,86,0.0089,0.0063,0.002,1.166125774383545,True,50212,14.7048,68.0048,
or1200,full,5,35,35,86,0.0089,0.0063,0.002,1.2157466411590576,True,50142,14.8526,67.3285,
or1200,full,6,35,35,86,0.0082,0.0057,0.0019,1.115950345993042,True,50398,14.8481,67.3486,
or1200,full,7,35,35,86,0.009,0.0063,0.0021,1.165679693222046,True,49902,14.7181,67.9434,
or1200,full,8,35,35,86,0.009,0.0063,0.002,1.1655387878417969,True,50029,14.7093,67.9843,
or1200,full,9,35,35,86,0.0092,0.0066,0.0019,1.165583848953247,True,50141,14.8426,67.3737,
