bench,config,seed,W,H,cw,threads,place_time_s,sys_place_core_s,sys_sta_s,route_wall_s,routed_ok,wl,cpd_ns,fmax_mhz,error
digit_recognition_update_knn1,vtr,9,35,35,76,12,2.91,,,2.16776704788208,True,74096,5.34757,187.001,
digit_recognition_update_knn2,soph,0,35,35,80,1,0.0653,0.0096,0.0535,2.217700481414795,True,75401,5.4718,182.755,
digit_recognition_update_knn2,soph,1,35,35,80,1,0.1029,0.0134,0.0869,1.9675219058990479,True,71878,5.31302,188.217,
digit_recognition_update_knn2,soph,2,35,35,80,1,0.103,0.013,0.0875,2.017934560775757,True,72783,5.46848,182.866,
digit_recognition_update_knn2,soph,3,35,35,80,1,0.0841,0.012,0.0696,2.0174341201782227,True,72296,5.20017,192.301,
digit_recognition_update_knn2,soph,4,35,35,80,1,0.0878,0.011,0.0744,2.0177595615386963,True,74105,4.89315,204.367,
digit_recognition_update_knn2,soph,5,35,35,80,1,0.1224,0.0144,0.1053,1.967391014099121,True,72499,4.97218,201.119,
digit_recognition_update_knn2,soph,6,35,35,80,1,0.0977,0.013,0.0821,2.017448902130127,True,73161,5.31745,188.06,
digit_recognition_update_knn2,soph,7,35,35,80,1,0.1149,0.0144,0.0978,2.0174789428710938,True,73608,5.48452,182.331,
digit_recognition_update_knn2,soph,8,35,35,80,1,0.0926,0.0119,0.0783,2.0174150466918945,True,72477,5.20406,192.158,
digit_recognition_update_knn2,soph,9,35,35,80,1,0.0933,0.0118,0.0791,1.9677231311798096,True,72415,5.4563,183.274,
digit_recognition_update_knn2,vtr,0,35,35,80,12,2.55,,,1.9679195880889893,True,70395,5.35009,186.913,
digit_recognition_update_knn2,vtr,1,35,35,80,12,2.58,,,1.9675750732421875,True,71408,5.10771,195.783,
digit_recognition_update_knn2,vtr,2,35,35,80,12,2.6,,,1.9679112434387207,True,70767,5.25873,190.16,
digit_recognition_update_knn2,vtr,3,35,35,80,12,2.61,,,2.0175673961639404,True,71741,5.19464,192.506,
digit_recognition_update_knn2,vtr,4,35,35,80,12,2.39,,,1.9672410488128662,True,69563,5.04861,198.074,
